,cell_index,name,age,X,signal_level,dz/dt,time_win_left,time_win_right,mortality,status
5297,456,23-01-BT,17.5,1.2021551773716495,0.14749563068530094,0.013584076714523012,14,21,102,1
5298,456,23-01-BT,24.5,0.2097385846682119,0.15013378592357515,0.0023283520470089064,21,28,102,1
5299,456,23-01-BT,31.5,1.5347966672425755,0.16499169039922493,0.015503777427910448,28,35,102,1
5300,456,23-01-BT,38.5,0.5577615641317392,0.17489454669845056,0.005315217795149627,35,42,102,1
5301,456,23-01-BT,45.5,2.8865591954512464,0.19796960944020814,0.0243013662855751,42,49,102,1
5302,456,23-01-BT,52.5,-0.6716041994383667,0.21987343839118959,-0.0050908392600191865,49,56,102,1
5303,456,23-01-BT,59.5,-0.9510733297242611,0.20355761263582425,-0.007787093765159117,56,63,102,1
5304,456,23-01-BT,66.5,0.1386353943861164,0.20241854407965712,0.0011414912190683452,63,70,102,1
5305,456,23-01-BT,73.5,-0.1287715867319889,0.19517439656485264,-0.0010996284092451014,70,77,102,1
5306,456,23-01-BT,80.5,6.91966913517113,0.23002175789674428,0.0501377869528712,77,84,102,1
5307,456,23-01-BT,87.5,9.208459158728099,0.37978263921964456,0.0404110939951034,84,91,102,1
5309,457,23-05-AH,3.5,4.026204105923347,0.06394031845529526,0.10494693080439595,0,7,26,1
5310,457,23-05-AH,10.5,1.4419260749633027,0.10126696118367598,0.02373143320238418,7,14,26,1
5311,457,23-05-AH,17.5,4.175555811610764,0.13985700207941754,0.04975982312323653,14,21,26,1
5312,458,23-07-AH,3.5,3.889248432760802,0.044410661454814586,0.14595776124305568,0,7,103,1
5313,458,23-07-AH,10.5,0.5171124038645906,0.06760660601484766,0.012748073853192765,7,14,103,1
5314,458,23-07-AH,17.5,0.4317525699082526,0.075785206205944,0.009495093469275477,14,21,103,1
5315,458,23-07-AH,24.5,0.07697529046384344,0.07675413402788943,0.0016714689364673969,21,28,103,1
5316,458,23-07-AH,31.5,1.2277323701641798,0.08627949369495914,0.023716187118282193,28,35,103,1
5317,458,23-07-AH,38.5,1.31737920425575,0.10232767156996038,0.02145687450331346,35,42,103,1
5318,458,23-07-AH,45.5,1.003100285702704,0.11792650372497869,0.014176913218791425,42,49,103,1
5319,458,23-07-AH,52.5,0.1716472638336282,0.12624184277604877,0.0022661168972600205,49,56,103,1
5320,458,23-07-AH,59.5,-0.07605828112771297,0.12216991247426023,-0.0010376024612952822,56,63,103,1
5321,458,23-07-AH,66.5,1.1253362295287102,0.13178740264332184,0.014231712173765128,63,70,103,1
5322,458,23-07-AH,73.5,4.00333732227229,0.15972880481863885,0.04177223311743725,70,77,103,1
5323,458,23-07-AH,80.5,5.502482228806174,0.22896158382429949,0.0400538970839512,77,84,103,1
5324,458,23-07-AH,87.5,10.682053935433045,0.34958666958163237,0.05092706551719485,84,91,103,1
5326,459,23-07-ATH,3.5,5.039689173254894,0.05332503799981391,0.1575147861208113,0,7,77,1
5327,459,23-07-ATH,10.5,0.9561097970975782,0.08376974315631305,0.019022576272228586,7,14,77,1
5328,459,23-07-ATH,17.5,1.935637639158778,0.10808364255581404,0.02984783502522473,14,21,77,1
5329,459,23-07-ATH,24.5,1.1207474618051594,0.12092529385916544,0.015446829829641595,21,28,77,1
5330,459,23-07-ATH,31.5,0.44680254166590483,0.13526610677916415,0.005505229066674182,28,35,77,1
5331,459,23-07-ATH,38.5,-0.5421778633784893,0.12978435950802902,-0.006962547534409026,35,42,77,1
5332,459,23-07-ATH,45.5,1.419765834641804,0.13850081293610553,0.01708492781310465,42,49,77,1
5333,459,23-07-ATH,52.5,0.5980367465508246,0.154234771643147,0.006462407278847409,49,56,77,1
5334,459,23-07-ATH,59.5,4.584179680934478,0.17662237918594978,0.04325782215955968,56,63,77,1
5335,459,23-07-ATH,66.5,14.978347162388726,0.3305687981164592,0.07551805276104664,63,70,77,1
5336,459,23-07-ATH,73.5,24.154738534644633,0.6575455700725333,0.06122449817934328,70,77,77,1
5337,460,23-07-ATT,38.5,0.4098917616910317,0.173955239661557,0.003927176539671038,35,42,62,1
5338,460,23-07-ATT,45.5,2.590382250838845,0.1977868845115481,0.02182805883241466,42,49,62,1
5339,460,23-07-ATT,52.5,1.3858822383801244,0.2280051477443709,0.010130489392385074,49,56,62,1
5340,460,23-07-ATT,59.5,22.38698348360716,0.3573151971523537,0.10442220044572063,56,63,62,1
5341,461,23-08-AH,3.5,5.248207962522364,0.05799023293079231,0.150835974073593,0,7,78,1
5342,461,23-08-AH,10.5,0.8027919599921453,0.09152702675535714,0.014618486445137318,7,14,78,1
5343,461,23-08-AH,17.5,0.24961096127868687,0.09974064509397897,0.004171000382099245,14,21,78,1
5344,461,23-08-AH,24.5,-0.1442216547296004,0.0978564380237212,-0.0024563475781845495,21,28,78,1
5345,461,23-08-AH,31.5,1.0725668772591288,0.10515088772081697,0.017000440993373087,28,35,78,1
5346,461,23-08-AH,38.5,-0.3643309128162253,0.10656247547231978,-0.005698236507134921,35,42,78,1
5347,461,23-08-AH,45.5,0.7026122741132991,0.11069321202685758,0.01057897259835023,42,49,78,1
5348,461,23-08-AH,52.5,0.5201285463269025,0.1217744251963744,0.007118743604389005,49,56,78,1
5349,461,23-08-AH,59.5,0.36856929076335343,0.11983627772832262,0.005126011612817925,56,63,78,1
5350,461,23-08-AH,66.5,6.054992858023365,0.1660109003459215,0.06078910928345075,63,70,78,1
5351,461,23-08-AH,73.5,27.030392026126375,0.37337656625509164,0.12065742054657654,70,77,78,1
5352,462,23-08-AT,3.5,6.26528041201743,0.07171600959612885,0.1456039464386583,0,7,92,1
5353,462,23-08-AT,10.5,0.55051091506553,0.10447114563236508,0.008782503400552706,7,14,92,1
5354,462,23-08-AT,17.5,1.0826454159830972,0.1201961397297815,0.015012204474245765,14,21,92,1
5355,462,23-08-AT,24.5,1.2042572584255469,0.12704703802032818,0.015798049777343875,21,28,92,1
5356,462,23-08-AT,31.5,1.4773526053902768,0.14996945231138814,0.016418372570999602,28,35,92,1
5357,462,23-08-AT,38.5,-0.6632110498624623,0.15055630136186254,-0.007341783371219077,35,42,92,1
5358,462,23-08-AT,45.5,0.17318752567464404,0.1514368384217087,0.0019060479545974784,42,49,92,1
5359,462,23-08-AT,52.5,-0.38899613029505464,0.15232806774328359,-0.004256122285472087,49,56,92,1
5360,462,23-08-AT,59.5,-0.05769863288485694,0.1418895912732397,-0.0006777409623813949,56,63,92,1
5361,462,23-08-AT,66.5,3.2357479513292744,0.16822347792330827,0.0320580297042369,63,70,92,1
5362,462,23-08-AT,73.5,7.631664391606721,0.24179178202340215,0.05260493365918781,70,77,92,1
5363,462,23-08-AT,80.5,13.972704070758454,0.39108224677845266,0.059547167660421244,77,84,92,1
5364,463,23-09-AH,3.5,4.503255044328765,0.0475736826431313,0.15776422292514936,0,7,79,1
5365,463,23-09-AH,10.5,0.24771044016479296,0.07327591563208721,0.005634194128407488,7,14,79,1
5366,463,23-09-AH,17.5,2.4046569882338225,0.09293548425879136,0.043124127226756785,14,21,79,1
5367,463,23-09-AH,24.5,1.9254201656288465,0.11591436235367839,0.027684521091441577,21,28,79,1
5368,463,23-09-AH,31.5,2.3615923198297057,0.14771011991255806,0.026646699644182915,28,35,79,1
5369,463,23-09-AH,38.5,2.225102761528007,0.17333916949630918,0.02139449850442281,35,42,79,1
5370,463,23-09-AH,45.5,3.3190649857969072,0.21673345119900705,0.02552340188247564,42,49,79,1
5371,463,23-09-AH,52.5,4.1202066476142125,0.2736153084897381,0.02509732045791059,49,56,79,1
